PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,DO spot amplitude (Amplitude)
2025-07-24T02:22:02.9611876,28393
2025-07-24T02:22:15.0950411,28504
2025-07-24T02:22:27.1410368,28526
2025-07-24T02:22:39.2207154,28568
2025-07-24T02:22:51.2926897,28651
2025-07-24T02:23:03.3008339,28692
2025-07-24T02:23:15.3285499,28757
2025-07-24T02:23:27.3331328,28826
2025-07-24T02:23:39.3579537,28856
2025-07-24T02:23:51.5823091,28889
2025-07-24T02:24:03.5792812,28914
2025-07-24T02:24:15.5904514,28956
2025-07-24T02:24:27.5779897,29009
2025-07-24T02:24:39.6330138,29073
2025-07-24T02:24:51.8215303,29115
2025-07-24T02:25:03.8610008,29197
2025-07-24T02:25:15.8503993,29278
2025-07-24T02:25:27.8853921,29323
2025-07-24T02:25:39.8908455,29372
2025-07-24T02:25:52.0634667,29448
2025-07-24T02:26:04.0610539,29470
2025-07-24T02:26:16.0637662,29517
2025-07-24T02:26:28.1781582,29574
2025-07-24T02:26:40.2250724,29624
2025-07-24T02:26:52.2940796,29690
2025-07-24T02:27:04.3058658,29712
2025-07-24T02:27:16.3036960,29758
2025-07-24T02:27:28.4405678,29827
2025-07-24T02:27:40.4852118,29869
2025-07-24T02:27:52.5665791,29884
2025-07-24T02:28:04.5473886,29946
2025-07-24T02:28:16.6289342,30001
2025-07-24T02:28:28.7722489,30074
2025-07-24T02:28:40.8166684,30112
2025-07-24T02:28:52.8723343,30159
2025-07-24T02:29:04.8946777,30176
2025-07-24T02:29:16.9848082,30157
2025-07-24T02:29:29.0084430,30216
2025-07-24T02:29:41.0238612,30271
2025-07-24T02:29:53.1053596,30335
2025-07-24T02:30:05.0829943,30380
2025-07-24T02:30:17.1163415,30372
2025-07-24T02:30:29.1490867,30428
2025-07-24T02:30:41.1763233,30464
2025-07-24T02:30:53.3605004,30498
2025-07-24T02:31:05.3402485,30557
2025-07-24T02:31:17.4590813,30603
2025-07-24T02:31:29.4857364,30628
2025-07-24T02:31:41.5369847,30683
2025-07-24T02:31:53.6217572,30730
2025-07-24T02:32:05.6446304,30795
2025-07-24T02:32:17.6651215,30787
2025-07-24T02:32:29.6921193,30862
2025-07-24T02:32:41.7246115,30894
2025-07-24T02:32:53.9061896,30904
2025-07-24T02:33:05.9273957,30974
2025-07-24T02:33:17.9306765,30994
2025-07-24T02:33:29.9768817,31036
2025-07-24T02:33:42.0224902,31085
2025-07-24T02:33:54.1259848,31115
2025-07-24T02:34:06.1285902,31163
2025-07-24T02:34:18.1415147,31166
2025-07-24T02:34:30.1934948,31242
2025-07-24T02:34:42.2390490,31286
2025-07-24T02:34:54.4078276,31321
2025-07-24T02:35:06.4441824,31351
2025-07-24T02:35:18.4575344,31389
2025-07-24T02:35:30.5227319,31410
2025-07-24T02:35:42.5404410,31438
2025-07-24T02:35:54.7408739,31457
2025-07-24T02:36:06.7425161,31541
2025-07-24T02:36:18.7029467,31628
2025-07-24T02:36:30.7859569,31617
2025-07-24T02:36:42.8072374,31700
2025-07-24T02:36:55.0118785,31633
2025-07-24T02:37:07.0325622,31693
2025-07-24T02:37:19.0233221,31655
2025-07-24T02:37:31.0683480,31762
2025-07-24T02:37:43.1088413,31772
2025-07-24T02:37:55.2585046,31852
2025-07-24T02:38:07.2812365,31860
2025-07-24T02:38:19.2984615,31911
2025-07-24T02:38:31.3273016,31907
2025-07-24T02:38:43.3628322,31948
2025-07-24T02:38:55.4290440,31966
2025-07-24T02:39:07.4326230,31997
2025-07-24T02:39:19.4628798,32004
2025-07-24T02:39:31.5179647,32054
2025-07-24T02:39:43.5436291,32061
2025-07-24T02:39:55.6174793,32071
2025-07-24T02:40:07.5933125,32106
2025-07-24T02:40:19.6827806,32133
2025-07-24T02:40:31.6955526,32165
2025-07-24T02:40:43.7999786,32162
2025-07-24T02:40:55.9815478,32192
2025-07-24T02:41:08.0131594,32218
2025-07-24T02:41:20.1046739,32289
2025-07-24T02:41:32.1917806,32297
2025-07-24T02:41:44.2210531,32338
2025-07-24T02:41:56.3739405,32372
2025-07-24T02:42:08.4099038,32372
2025-07-24T02:42:20.4818521,32390
2025-07-24T02:42:32.5450444,32395
2025-07-24T02:42:44.5929943,32405
2025-07-24T02:42:56.6574090,32442
2025-07-24T02:43:08.6424280,32415
2025-07-24T02:43:20.7389099,32468
2025-07-24T02:43:32.7629013,32452
2025-07-24T02:43:44.8565145,32456
2025-07-24T02:43:57.0040086,32502
2025-07-24T02:44:08.9841251,32530
2025-07-24T02:44:21.0961389,32523
2025-07-24T02:44:33.1227598,32540
2025-07-24T02:44:45.2279017,32557
2025-07-24T02:44:57.3909987,32580
2025-07-24T02:45:09.3911969,32603
2025-07-24T02:45:21.4758220,32626
2025-07-24T02:45:33.5320266,32608
2025-07-24T02:45:45.5881528,32630
2025-07-24T02:45:57.6776749,32619
2025-07-24T02:46:09.7170312,32694
2025-07-24T02:46:21.7065499,32670
2025-07-24T02:46:33.7627883,32688
2025-07-24T02:46:45.7688964,32707
2025-07-24T02:46:57.8417840,32746
2025-07-24T02:47:09.8605055,32752
2025-07-24T02:47:21.9254926,32774
2025-07-24T02:47:34.0355359,32794
2025-07-24T02:47:46.1323445,32824
2025-07-24T02:47:58.3118328,32816
2025-07-24T02:48:10.2913673,32837
2025-07-24T02:48:22.3947336,32839
2025-07-24T02:48:34.5064088,32790
2025-07-24T02:48:46.5296338,32852
2025-07-24T02:48:58.7135509,32849
2025-07-24T02:49:10.6284903,32855
2025-07-24T02:49:22.6407726,32881
2025-07-24T02:49:34.6691393,32964
2025-07-24T02:49:46.6616791,32956
2025-07-24T02:49:58.7724355,32973
2025-07-24T02:50:10.8173300,32965
2025-07-24T02:50:22.8352869,32992
2025-07-24T02:50:34.8935808,33020
2025-07-24T02:50:46.8358476,33016
2025-07-24T02:50:59.0016978,33063
2025-07-24T02:51:10.9774983,33105
2025-07-24T02:51:23.0566288,33060
2025-07-24T02:51:35.1358076,33051
2025-07-24T02:51:47.2210811,33070
2025-07-24T02:51:59.3976938,33085
2025-07-24T02:52:11.3919737,33088
2025-07-24T02:52:23.3791516,33138
2025-07-24T02:52:35.3982404,33143
2025-07-24T02:52:47.4871475,33161
2025-07-24T02:52:59.6148650,33157
2025-07-24T02:53:11.5968887,33150
2025-07-24T02:53:23.6558551,33173
2025-07-24T02:53:35.7117852,33184
2025-07-24T02:53:47.7811641,33223
2025-07-24T02:53:59.8777375,33224
2025-07-24T02:54:11.8602219,33245
2025-07-24T02:54:23.9844050,33240
2025-07-24T02:54:36.0119626,33257
2025-07-24T02:54:48.1208650,33261
2025-07-24T02:55:00.1855246,33282
2025-07-24T02:55:12.1711795,33291
2025-07-24T02:55:24.2589691,33298
2025-07-24T02:55:36.3150983,33303
2025-07-24T02:55:48.3190771,33325
2025-07-24T02:56:00.4813181,33306
2025-07-24T02:56:12.4729148,33327
2025-07-24T02:56:24.5660490,33329
2025-07-24T02:56:36.6149991,33357
2025-07-24T02:56:48.5971281,33352
2025-07-24T02:57:00.7745270,33383
2025-07-24T02:57:12.7513350,33380
2025-07-24T02:57:24.8663979,33392
2025-07-24T02:57:36.9067869,33367
2025-07-24T02:57:48.9984859,33316
2025-07-24T02:58:01.1378936,33372
2025-07-24T02:58:13.1023909,33333
2025-07-24T02:58:25.2313665,33433
2025-07-24T02:58:37.3306783,33481
2025-07-24T02:58:49.3096924,33487
2025-07-24T02:59:01.4579301,33467
2025-07-24T02:59:13.4756326,33429
2025-07-24T02:59:25.4571004,33457
2025-07-24T02:59:37.5259540,33418
2025-07-24T02:59:49.5985869,33485
2025-07-24T03:00:01.7619273,33470
2025-07-24T03:00:13.6927582,33484
2025-07-24T03:00:25.7943250,33498
2025-07-24T03:00:37.8350721,33494
2025-07-24T03:00:49.9680782,33539
2025-07-24T03:01:02.0323047,33502
2025-07-24T03:01:14.0110578,33506
2025-07-24T03:01:26.1102639,33560
2025-07-24T03:01:38.1688016,33503
2025-07-24T03:01:50.1624062,33521
2025-07-24T03:02:02.3568657,33545
2025-07-24T03:02:14.3569066,33530
2025-07-24T03:02:26.4202401,33557
2025-07-24T03:02:38.4479440,33588
2025-07-24T03:02:50.5349684,33566
2025-07-24T03:03:02.6875681,33516
2025-07-24T03:03:14.6214537,33524
2025-07-24T03:03:26.7020012,33577
2025-07-24T03:03:38.7373678,33554
2025-07-24T03:03:50.8603032,33569
2025-07-24T03:04:02.9213052,33594
2025-07-24T03:04:14.8526295,33560
2025-07-24T03:04:26.8975787,33580
2025-07-24T03:04:38.9993457,33585
2025-07-24T03:04:51.0882893,33569
2025-07-24T03:05:03.1556282,33608
2025-07-24T03:05:15.1027931,33598
2025-07-24T03:05:27.1648372,33578
2025-07-24T03:05:39.2773958,33605
2025-07-24T03:05:51.3370628,33627
2025-07-24T03:06:03.5059198,33657
2025-07-24T03:06:15.4286043,33682
2025-07-24T03:06:27.5025615,33665
2025-07-24T03:06:39.4803559,33679
2025-07-24T03:06:51.5592115,33657
2025-07-24T03:07:03.6719395,33690
2025-07-24T03:07:15.6736956,33713
2025-07-24T03:07:27.6640609,33709
2025-07-24T03:07:39.7691528,33703
2025-07-24T03:07:51.8114040,33720
2025-07-24T03:08:03.9765815,33743
2025-07-24T03:08:15.9878661,33706
2025-07-24T03:08:27.9989278,33712
2025-07-24T03:08:39.9811754,33717
2025-07-24T03:08:52.0632991,33698
2025-07-24T03:09:04.2132899,33727
2025-07-24T03:09:16.1839121,33727
2025-07-24T03:09:28.2942344,33767
2025-07-24T03:09:40.2624550,33741
2025-07-24T03:09:52.3662699,33792
2025-07-24T03:10:04.4276677,33781
2025-07-24T03:10:16.3783704,33759
2025-07-24T03:10:28.4557202,33763
2025-07-24T03:10:40.4313657,33814
2025-07-24T03:10:52.5090867,33779
2025-07-24T03:11:04.6344077,33771
2025-07-24T03:11:16.6081777,33778
2025-07-24T03:11:28.6989561,33807
2025-07-24T03:11:40.7739588,33784
2025-07-24T03:11:52.8366080,33790
2025-07-24T03:12:04.9589736,33784
2025-07-24T03:12:16.9460254,33852
2025-07-24T03:12:29.0419480,33796
2025-07-24T03:12:41.1503547,33821
2025-07-24T03:12:53.2221748,33804
2025-07-24T03:13:05.3167427,33844
2025-07-24T03:13:17.3874096,33851
2025-07-24T03:13:29.4812247,33857
2025-07-24T03:13:41.5593157,33868
2025-07-24T03:13:53.6724300,33840
2025-07-24T03:14:05.7909439,33841
2025-07-24T03:14:17.7643220,33852
2025-07-24T03:14:29.7761607,33844
2025-07-24T03:14:41.8715379,33858
2025-07-24T03:14:53.9217705,33839
2025-07-24T03:15:06.0351688,33862
2025-07-24T03:15:18.0058162,33872
2025-07-24T03:15:30.0522486,33881
2025-07-24T03:15:42.1508484,33905
2025-07-24T03:15:54.2440427,33873
2025-07-24T03:16:06.4023031,33897
2025-07-24T03:16:18.4172333,33918
2025-07-24T03:16:30.4281471,33910
2025-07-24T03:16:42.4358515,33918
2025-07-24T03:16:54.5283093,33888
2025-07-24T03:17:06.6701168,33923
2025-07-24T03:17:18.6823847,33939
2025-07-24T03:17:30.6963469,33910
2025-07-24T03:17:42.7867866,33929
2025-07-24T03:17:54.8811703,33925
2025-07-24T03:18:07.0268481,33899
2025-07-24T03:18:19.0080980,33910
2025-07-24T03:18:31.0314456,33894
2025-07-24T03:18:43.0695619,33930
2025-07-24T03:18:55.1876317,33932
2025-07-24T03:19:07.3661592,33963
2025-07-24T03:19:19.3409426,33926
2025-07-24T03:19:31.3899582,33897
2025-07-24T03:19:43.3533173,33940
2025-07-24T03:19:55.4409531,33901
2025-07-24T03:20:07.5829609,33954
2025-07-24T03:20:19.5814222,33921
2025-07-24T03:20:31.5935133,33932
2025-07-24T03:20:43.6768450,34000
2025-07-24T03:20:55.7430396,33945
2025-07-24T03:21:07.8721691,33968
2025-07-24T03:21:19.9441941,33968
2025-07-24T03:21:31.9732953,33931
2025-07-24T03:21:44.0682921,33934
2025-07-24T03:21:56.1412268,33994
2025-07-24T03:22:08.2437971,33978
2025-07-24T03:22:20.2195505,33975
2025-07-24T03:22:32.2475868,33966
2025-07-24T03:22:44.4084881,33980
2025-07-24T03:22:56.3849061,33963
2025-07-24T03:23:08.5072631,33998
2025-07-24T03:23:20.5472472,33963
2025-07-24T03:23:32.5433515,33998
2025-07-24T03:23:44.6272659,34017
2025-07-24T03:23:56.6702403,33997
2025-07-24T03:24:08.7701289,34018
2025-07-24T03:24:20.8453293,34014
2025-07-24T03:24:32.8989484,34001
2025-07-24T03:24:45.0009847,34005
2025-07-24T03:24:57.0781108,34000
2025-07-24T03:25:09.1830670,33979
2025-07-24T03:25:21.1925974,34011
2025-07-24T03:25:33.3117957,33989
2025-07-24T03:25:45.3771639,33998
2025-07-24T03:25:57.4380376,33999
2025-07-24T03:26:09.6111959,34026
2025-07-24T03:26:21.5464093,34020
2025-07-24T03:26:33.5866528,34007
2025-07-24T03:26:45.6645222,34019
2025-07-24T03:26:57.7300401,34016
2025-07-24T03:27:09.8717117,34000
2025-07-24T03:27:21.8106632,34016
2025-07-24T03:27:33.8025266,34012
2025-07-24T03:27:45.8620485,34019
2025-07-24T03:27:57.8871525,34025
2025-07-24T03:28:09.9943492,34047
2025-07-24T03:28:22.0064008,34038
2025-07-24T03:28:34.0924386,34037
2025-07-24T03:28:46.1005063,34060
2025-07-24T03:28:58.1694213,34022
2025-07-24T03:29:10.3043895,34033
2025-07-24T03:29:22.2829957,34035
2025-07-24T03:29:34.2537425,34012
2025-07-24T03:29:46.2912209,34004
2025-07-24T03:29:58.3244834,34039
2025-07-24T03:30:10.4592902,34042
2025-07-24T03:30:22.4324220,34053
2025-07-24T03:30:34.4573392,34017
2025-07-24T03:30:46.4940803,34059
2025-07-24T03:30:58.5603174,34052
2025-07-24T03:31:10.7259925,34021
2025-07-24T03:31:22.6504152,34017
2025-07-24T03:31:34.6911572,34060
2025-07-24T03:31:46.7474487,34035
2025-07-24T03:31:58.7621319,34049
2025-07-24T03:32:10.8705934,34055
2025-07-24T03:32:22.9292364,34036
2025-07-24T03:32:35.0439730,34034
2025-07-24T03:32:47.1147239,34042
2025-07-24T03:32:59.1450406,34066
