PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Feed#1 flow rate_SP (mL/h)
2025-07-23T20:17:21.2909453,0
2025-07-23T20:20:07.4303518,0
2025-07-23T20:20:07.4619037,100
2025-07-23T20:23:52.2510572,100
2025-07-23T20:24:04.2586634,0
2025-07-23T20:30:17.3902457,0
2025-07-23T20:30:17.4862334,100
2025-07-23T20:30:41.0732777,100
2025-07-23T20:30:53.0923136,0
2025-07-23T20:31:07.3564399,0
2025-07-23T20:31:07.3893925,100
2025-07-23T20:37:53.3669356,100
2025-07-23T20:38:05.4101544,0
2025-07-23T20:38:18.7498022,0
2025-07-23T20:38:18.7812633,5
2025-07-23T21:11:58.9616208,5
2025-07-23T21:11:58.9936207,0
2025-07-23T21:25:00.6281166,0
2025-07-23T21:25:00.6600799,5
2025-07-23T21:52:39.1088009,5
2025-07-23T21:52:51.1243563,0
2025-07-23T22:04:08.5566214,0
2025-07-23T22:04:08.5882120,100
2025-07-23T22:04:30.6985802,100
2025-07-23T22:04:42.7808386,0
2025-07-23T22:04:56.3946232,0
2025-07-23T22:04:56.4261819,50
2025-07-23T22:17:43.7640817,50
2025-07-23T22:17:56.2908232,0
2025-07-23T22:29:10.1005706,0
2025-07-23T22:29:10.1325713,100
2025-07-23T22:29:33.1577980,100
2025-07-23T22:29:45.1573284,0
2025-07-23T22:29:58.1307836,0
2025-07-23T22:29:58.1623855,100
2025-07-23T23:19:51.2650662,100
2025-07-23T23:20:03.2717626,0
2025-07-24T00:42:09.7597448,0
2025-07-24T00:42:09.7916907,100
2025-07-24T00:50:06.5069109,100
2025-07-24T00:50:09.0275241,0
2025-07-24T00:56:51.4659252,0
2025-07-24T00:56:51.4975553,100
2025-07-24T00:56:51.5810868,100
2025-07-24T00:57:01.1828158,0
2025-07-24T18:14:34.7995540,0
2025-07-24T18:14:38.5858223,100
2025-07-24T18:14:38.6795997,100
2025-07-24T18:14:49.2365059,0
2025-07-31T22:43:11.8816474,0
2025-07-31T22:43:11.9129160,100
2025-07-31T22:46:47.4892072,100
2025-07-31T22:46:59.7558574,0
2025-07-31T22:53:13.5221274,0
2025-07-31T22:53:13.5536972,100
2025-07-31T22:53:47.6360438,100
2025-07-31T22:53:59.6602381,0
2025-07-31T22:54:13.2636635,0
2025-07-31T22:54:13.3436477,100
2025-07-31T23:00:49.3890159,100
2025-07-31T23:01:01.3588196,0
2025-07-31T23:01:26.8309031,0
2025-07-31T23:01:26.8621524,5
2025-08-01T00:01:17.1872413,5
2025-08-01T00:01:29.1964817,0
2025-08-01T00:12:18.6382938,0
2025-08-01T00:12:18.7179541,100
2025-08-01T00:12:42.6579399,100
2025-08-01T00:12:54.6590222,0
2025-08-01T00:13:06.9082459,0
2025-08-01T00:13:06.9893938,50
2025-08-01T00:25:57.1714144,50
2025-08-01T00:26:09.1857659,0
2025-08-01T00:37:11.2121312,0
2025-08-01T00:37:11.2431320,100
2025-08-01T00:37:34.5692181,100
2025-08-01T00:37:46.5937572,0
2025-08-01T00:37:59.4172030,0
2025-08-01T00:37:59.4494070,100
2025-08-01T01:27:41.9624096,100
2025-08-01T01:27:53.9578962,0
