PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Pump A syringe position (counts)
2025-07-23T20:17:21.2909453,-1418
2025-07-23T20:20:03.9738367,-1418
2025-07-23T20:20:15.9793344,-1570
2025-07-23T20:20:27.9806362,-1521
2025-07-23T20:20:39.9874371,791
2025-07-23T20:20:51.9999548,1418
2025-07-23T20:21:04.0128809,1286
2025-07-23T20:21:16.0194457,943
2025-07-23T20:21:28.0205851,-992
2025-07-23T20:21:40.0318959,-1315
2025-07-23T20:21:52.0523541,-110
2025-07-23T20:22:04.0459680,-1155
2025-07-23T20:22:16.0587550,1418
2025-07-23T20:23:28.1059107,1418
2025-07-23T20:23:40.1087124,1417
2025-07-23T20:23:52.1226436,473
2025-07-23T20:30:16.3715612,473
2025-07-23T20:30:28.8768939,-583
2025-07-23T20:30:40.8909101,-1078
2025-07-23T20:30:52.8977164,-3796
2025-07-23T20:31:04.8998101,-3796
2025-07-23T20:31:16.9138622,-1467
2025-07-23T20:31:28.9189133,-1797
2025-07-23T20:31:40.9210462,-2008
2025-07-23T20:31:52.9232921,-4190
2025-07-23T20:32:04.9296452,-4192
2025-07-23T20:32:16.9337533,-4192
2025-07-23T20:32:28.9407038,-2523
2025-07-23T20:32:40.9530631,-3365
2025-07-23T20:32:52.9564130,-3372
2025-07-23T20:33:04.9632937,-2454
2025-07-23T20:33:16.9778400,-2382
2025-07-23T20:33:28.9805089,-2265
2025-07-23T20:33:40.9825010,-2918
2025-07-23T20:33:52.9882799,-1837
2025-07-23T20:34:04.9969026,-2103
2025-07-23T20:34:17.0112002,-1973
2025-07-23T20:34:29.0255022,-2313
2025-07-23T20:34:41.0309732,-2247
2025-07-23T20:34:53.0311887,-1160
2025-07-23T20:35:05.0459839,-1616
2025-07-23T20:35:17.0544995,-1493
2025-07-23T20:35:29.0635598,-1027
2025-07-23T20:35:41.0656409,-511
2025-07-23T20:35:53.0771673,-454
2025-07-23T20:36:05.0796480,-392
2025-07-23T20:36:17.0811572,-584
2025-07-23T20:36:29.0897176,-197
2025-07-23T20:36:41.0962502,-329
2025-07-23T20:36:53.0978913,-596
2025-07-23T20:37:05.1074010,-685
2025-07-23T20:37:17.1209234,-416
2025-07-23T20:37:29.1338744,-801
2025-07-23T20:37:41.1360099,-352
2025-07-23T20:37:53.1474407,-413
2025-07-23T20:38:05.1574822,-467
2025-07-23T20:38:17.1720179,-467
2025-07-23T20:38:29.1767249,279
2025-07-23T20:38:41.1820016,1131
2025-07-23T20:38:53.1962140,-3645
2025-07-23T20:39:05.2048990,-2801
2025-07-23T20:39:17.2085859,-1934
2025-07-23T20:39:29.2165941,-1083
2025-07-23T20:39:41.2292541,-226
2025-07-23T20:39:53.2381239,627
2025-07-23T20:40:05.2400179,-4192
2025-07-23T20:40:17.2451751,-3350
2025-07-23T20:40:29.2462642,-2494
2025-07-23T20:40:41.2593444,-1626
2025-07-23T20:40:53.2716783,-776
2025-07-23T20:41:05.2823261,74
2025-07-23T20:41:17.2952400,942
2025-07-23T20:41:29.3027710,-3737
2025-07-23T20:41:41.3166381,-2892
2025-07-23T20:41:53.8496164,-1984
2025-07-23T20:42:05.8273550,-1133
2025-07-23T20:42:17.8353566,-272
2025-07-23T20:42:29.8376085,577
2025-07-23T20:42:41.8517626,-3121
2025-07-23T20:42:53.8660426,-3309
2025-07-23T20:43:05.8669264,-2465
2025-07-23T20:43:17.8777963,-1597
2025-07-23T20:43:29.8787178,-747
2025-07-23T20:43:41.8835787,102
2025-07-23T20:43:53.8964006,953
2025-07-23T20:44:06.4094325,-3762
2025-07-23T20:44:18.4241922,-2900
2025-07-23T20:44:30.4347997,-2050
2025-07-23T20:44:42.4372796,-1194
2025-07-23T20:44:54.4435914,-338
2025-07-23T20:45:06.4463749,522
2025-07-23T20:45:18.4592020,1134
2025-07-23T20:45:30.4642548,-3368
2025-07-23T20:45:42.4725176,-2523
2025-07-23T20:45:54.4727874,-1668
2025-07-23T20:46:06.4801325,-812
2025-07-23T20:46:18.4845530,54
2025-07-23T20:46:30.4872949,909
2025-07-23T20:46:42.5010246,-3849
2025-07-23T20:46:55.0160864,-2953
2025-07-23T20:47:07.0199074,-2097
2025-07-23T20:47:19.0335299,-1240
2025-07-23T20:47:31.0487057,-389
2025-07-23T20:47:43.0524799,476
2025-07-23T20:47:55.0561501,1370
2025-07-23T20:48:07.0715990,-3434
2025-07-23T20:48:19.0791770,-2578
2025-07-23T20:48:31.0817240,-1711
2025-07-23T20:48:43.0962448,-860
2025-07-23T20:48:55.1106615,1
2025-07-23T20:49:07.1212459,851
2025-07-23T20:49:19.1331296,-3893
2025-07-23T20:49:31.1397721,-3042
2025-07-23T20:49:43.1431927,-2180
2025-07-23T20:49:55.1526358,-1329
2025-07-23T20:50:07.1609454,-468
2025-07-23T20:50:19.1666097,386
2025-07-23T20:50:31.1809714,1243
2025-07-23T20:50:43.1859074,-3514
2025-07-23T20:50:55.1911854,-2653
2025-07-23T20:51:07.1962462,-1797
2025-07-23T20:51:19.1990072,-941
2025-07-23T20:51:31.2038511,-92
2025-07-23T20:51:43.2185412,770
2025-07-23T20:51:55.2256471,-3990
2025-07-23T20:52:07.2261214,-3135
2025-07-23T20:52:19.2397761,-2278
2025-07-23T20:52:31.2416762,-1427
2025-07-23T20:52:43.2487504,-565
2025-07-23T20:52:55.2567166,283
2025-07-23T20:53:07.2604864,1140
2025-07-23T20:53:19.2741071,-3603
2025-07-23T20:53:31.2855786,-2753
2025-07-23T20:53:43.2918695,-1897
2025-07-23T20:53:55.2985673,-1042
2025-07-23T20:54:07.3122753,-180
2025-07-23T20:54:19.3183578,670
2025-07-23T20:54:31.3198153,-4138
2025-07-23T20:54:43.3276046,-3263
2025-07-23T20:54:55.3323698,-2407
2025-07-23T20:55:07.3395049,-1551
2025-07-23T20:55:19.3417180,-701
2025-07-23T20:55:31.3456754,159
2025-07-23T20:55:43.3485371,1015
2025-07-23T20:55:55.3555325,-3704
2025-07-23T20:56:07.3577477,-2848
2025-07-23T20:56:19.3632278,-1991
2025-07-23T20:56:31.3710887,-1131
2025-07-23T20:56:43.3847812,-280
2025-07-23T20:56:55.3990159,576
2025-07-23T20:57:07.4126447,-2707
2025-07-23T20:57:19.4163158,-3312
2025-07-23T20:57:31.4299579,-2461
2025-07-23T20:57:43.4429367,-1604
2025-07-23T20:57:55.4557056,-748
2025-07-23T20:58:07.4591563,112
2025-07-23T20:58:19.4675685,963
2025-07-23T20:58:31.4814441,-3789
2025-07-23T20:58:43.4885884,-2927
2025-07-23T20:58:55.5002521,-2076
2025-07-23T20:59:07.5085678,-1221
2025-07-23T20:59:19.5227102,-359
2025-07-23T20:59:32.0226687,526
2025-07-23T20:59:44.0292234,931
2025-07-23T20:59:56.5299354,-3328
2025-07-23T21:00:09.0299887,-2448
2025-07-23T21:00:21.0304863,-1592
2025-07-23T21:00:33.0317745,-737
2025-07-23T21:00:45.0460128,123
2025-07-23T21:00:57.5575724,1015
2025-07-23T21:01:09.5711347,-3740
2025-07-23T21:01:21.5859244,-2883
2025-07-23T21:01:33.5973708,-2027
2025-07-23T21:01:45.6016481,-1172
2025-07-23T21:01:57.6125134,-315
2025-07-23T21:02:09.6208895,540
2025-07-23T21:02:21.6226203,71
2025-07-23T21:02:33.6282404,-3358
2025-07-23T21:02:45.6291555,-2502
2025-07-23T21:02:57.6436235,-1646
2025-07-23T21:03:09.6450123,-791
2025-07-23T21:03:21.6513469,65
2025-07-23T21:03:33.6602999,921
2025-07-23T21:03:45.6605956,-3831
2025-07-23T21:03:57.6672978,-2975
2025-07-23T21:04:09.6692216,-2120
2025-07-23T21:04:21.6793321,-1263
2025-07-23T21:04:33.6884868,-407
2025-07-23T21:04:45.7005483,448
2025-07-23T21:04:57.7101540,1314
2025-07-23T21:05:09.7190043,-3448
2025-07-23T21:05:21.7278276,-2593
2025-07-23T21:05:34.2303236,-1698
2025-07-23T21:05:46.2343619,-842
2025-07-23T21:05:58.2467820,13
2025-07-23T21:06:10.2571531,869
2025-07-23T21:06:22.2684555,-3885
2025-07-23T21:06:34.2726528,-3029
2025-07-23T21:06:46.2827805,-2173
2025-07-23T21:06:58.2840076,-1317
2025-07-23T21:07:10.2937346,-462
2025-07-23T21:07:22.3044320,394
2025-07-23T21:07:34.3172174,1250
2025-07-23T21:07:46.3255430,-3499
2025-07-23T21:07:58.3327502,-2642
2025-07-23T21:08:10.3346184,-1787
2025-07-23T21:08:22.3435712,-930
2025-07-23T21:08:34.3581541,-75
2025-07-23T21:08:46.3652466,781
2025-07-23T21:08:58.3786743,-3972
2025-07-23T21:09:10.3877753,-3116
