PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Pump A total volume (motor counts) (counts)
2025-07-23T20:17:21.2909453,0
2025-07-23T20:20:03.9738367,0
2025-07-23T20:20:15.9793344,11219
2025-07-23T20:20:27.9806362,28047
2025-07-23T20:20:39.9874371,44875
2025-07-23T20:20:51.9999548,61704
2025-07-23T20:21:04.0128809,78533
2025-07-23T20:21:16.0194457,95363
2025-07-23T20:21:28.0205851,112193
2025-07-23T20:21:40.0318959,129022
2025-07-23T20:21:52.0523541,145852
2025-07-23T20:22:04.0459680,162680
2025-07-23T20:22:16.0587550,179509
2025-07-23T20:22:28.0719117,196339
2025-07-23T20:22:40.0834309,213169
2025-07-23T20:22:52.0914873,229998
2025-07-23T20:23:04.0957059,246826
2025-07-23T20:23:16.1002220,263656
2025-07-23T20:23:28.1059107,280486
2025-07-23T20:23:40.1087124,297315
2025-07-23T20:23:52.1226436,313200
2025-07-23T20:30:04.3608291,313200
2025-07-23T20:30:16.3715612,0
2025-07-23T20:30:28.8768939,15771
2025-07-23T20:30:40.8909101,32105
2025-07-23T20:30:52.8977164,46218
2025-07-23T20:31:04.8998101,0
2025-07-23T20:31:16.9138622,13547
2025-07-23T20:31:28.9189133,30045
2025-07-23T20:31:40.9210462,46661
2025-07-23T20:31:52.9232921,61308
2025-07-23T20:32:04.9296452,78136
2025-07-23T20:32:16.9337533,94964
2025-07-23T20:32:28.9407038,111793
2025-07-23T20:32:40.9530631,128622
2025-07-23T20:32:52.9564130,145450
2025-07-23T20:33:04.9632937,162280
2025-07-23T20:33:16.9778400,179110
2025-07-23T20:33:28.9805089,195940
2025-07-23T20:33:40.9825010,212770
2025-07-23T20:33:52.9882799,229600
2025-07-23T20:34:04.9969026,246430
2025-07-23T20:34:17.0112002,263259
2025-07-23T20:34:29.0255022,280087
2025-07-23T20:34:41.0309732,296916
2025-07-23T20:34:53.0311887,313746
2025-07-23T20:35:05.0459839,330576
2025-07-23T20:35:17.0544995,347406
2025-07-23T20:35:29.0635598,364236
2025-07-23T20:35:41.0656409,381066
2025-07-23T20:35:53.0771673,397896
2025-07-23T20:36:05.0796480,414724
2025-07-23T20:36:17.0811572,431553
2025-07-23T20:36:29.0897176,448383
2025-07-23T20:36:41.0962502,465213
2025-07-23T20:36:53.0978913,482042
2025-07-23T20:37:05.1074010,498871
2025-07-23T20:37:17.1209234,515699
2025-07-23T20:37:29.1338744,532529
2025-07-23T20:37:41.1360099,549359
2025-07-23T20:37:53.1474407,566188
2025-07-23T20:38:05.1574822,569913
2025-07-23T20:38:17.1720179,0
2025-07-23T20:38:29.1767249,746
2025-07-23T20:38:41.1820016,1598
2025-07-23T20:38:53.1962140,2430
2025-07-23T20:39:05.2048990,3275
2025-07-23T20:39:17.2085859,4141
2025-07-23T20:39:29.2165941,4992
2025-07-23T20:39:41.2292541,5849
2025-07-23T20:39:53.2381239,6703
2025-07-23T20:40:05.2400179,7493
2025-07-23T20:40:17.2451751,8334
2025-07-23T20:40:29.2462642,9190
2025-07-23T20:40:41.2593444,10058
2025-07-23T20:40:53.2716783,10908
2025-07-23T20:41:05.2823261,11759
2025-07-23T20:41:17.2952400,12627
2025-07-23T20:41:29.3027710,13556
2025-07-23T20:41:41.3166381,14401
2025-07-23T20:41:53.8496164,15309
2025-07-23T20:42:05.8273550,16160
2025-07-23T20:42:17.8353566,17021
2025-07-23T20:42:29.8376085,17871
2025-07-23T20:42:41.8517626,18711
2025-07-23T20:42:53.8660426,19594
2025-07-23T20:43:05.8669264,20437
2025-07-23T20:43:17.8777963,21305
2025-07-23T20:43:29.8787178,22155
2025-07-23T20:43:41.8835787,23005
2025-07-23T20:43:53.8964006,23856
2025-07-23T20:44:06.4094325,24749
2025-07-23T20:44:18.4241922,25611
2025-07-23T20:44:30.4347997,26461
2025-07-23T20:44:42.4372796,27318
2025-07-23T20:44:54.4435914,28173
2025-07-23T20:45:06.4463749,29034
2025-07-23T20:45:18.4592020,29929
2025-07-23T20:45:30.4642548,30752
2025-07-23T20:45:42.4725176,31597
2025-07-23T20:45:54.4727874,32452
2025-07-23T20:46:06.4801325,33308
2025-07-23T20:46:18.4845530,34175
2025-07-23T20:46:30.4872949,35030
2025-07-23T20:46:42.5010246,35880
2025-07-23T20:46:55.0160864,36776
2025-07-23T20:47:07.0199074,37632
2025-07-23T20:47:19.0335299,38489
2025-07-23T20:47:31.0487057,39340
2025-07-23T20:47:43.0524799,40206
2025-07-23T20:47:55.0561501,41100
2025-07-23T20:48:07.0715990,41904
2025-07-23T20:48:19.0791770,42760
2025-07-23T20:48:31.0817240,43627
2025-07-23T20:48:43.0962448,44478
2025-07-23T20:48:55.1106615,45340
2025-07-23T20:49:07.1212459,46190
2025-07-23T20:49:19.1331296,47055
2025-07-23T20:49:31.1397721,47905
2025-07-23T20:49:43.1431927,48767
2025-07-23T20:49:55.1526358,49618
2025-07-23T20:50:07.1609454,50479
2025-07-23T20:50:19.1666097,51334
2025-07-23T20:50:31.1809714,52191
2025-07-23T20:50:43.1859074,53042
2025-07-23T20:50:55.1911854,53903
2025-07-23T20:51:07.1962462,54759
2025-07-23T20:51:19.1990072,55615
2025-07-23T20:51:31.2038511,56464
2025-07-23T20:51:43.2185412,57327
2025-07-23T20:51:55.2256471,58175
2025-07-23T20:52:07.2261214,59030
2025-07-23T20:52:19.2397761,59887
2025-07-23T20:52:31.2416762,60738
2025-07-23T20:52:43.2487504,61600
2025-07-23T20:52:55.2567166,62449
2025-07-23T20:53:07.2604864,63306
2025-07-23T20:53:19.2741071,64171
2025-07-23T20:53:31.2855786,65021
2025-07-23T20:53:43.2918695,65877
2025-07-23T20:53:55.2985673,66732
2025-07-23T20:54:07.3122753,67594
2025-07-23T20:54:19.3183578,68445
2025-07-23T20:54:31.3198153,69245
2025-07-23T20:54:43.3276046,70120
2025-07-23T20:54:55.3323698,70976
2025-07-23T20:55:07.3395049,71832
2025-07-23T20:55:19.3417180,72682
2025-07-23T20:55:31.3456754,73543
2025-07-23T20:55:43.3485371,74399
2025-07-23T20:55:55.3555325,75289
2025-07-23T20:56:07.3577477,76144
2025-07-23T20:56:19.3632278,77001
2025-07-23T20:56:31.3710887,77861
2025-07-23T20:56:43.3847812,78712
2025-07-23T20:56:55.3990159,79569
2025-07-23T20:57:07.4126447,80410
2025-07-23T20:57:19.4163158,81289
