PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Pump B syringe position (counts)
2025-07-23T20:17:21.2909453,-1480
2025-07-23T20:20:03.9738367,-1480
2025-07-23T20:20:15.9793344,-1474
2025-07-23T20:20:27.9806362,-1294
2025-07-23T20:20:39.9874371,1088
2025-07-23T20:20:51.9999548,1371
2025-07-23T20:21:16.0194457,1371
2025-07-23T20:21:28.0205851,-101
2025-07-23T20:21:40.0318959,-292
2025-07-23T20:21:52.0523541,982
2025-07-23T20:22:04.0459680,58
2025-07-23T20:22:16.0587550,840
2025-07-23T20:22:28.0719117,1273
2025-07-23T20:22:40.0834309,1025
2025-07-23T20:22:52.0914873,1173
2025-07-23T20:23:04.0957059,663
2025-07-23T20:23:16.1002220,371
2025-07-23T20:23:28.1059107,446
2025-07-23T20:23:40.1087124,160
2025-07-23T20:23:52.1226436,127
2025-07-23T20:24:04.1364575,422
2025-07-23T20:30:16.3715612,422
2025-07-23T20:30:28.8768939,-843
2025-07-23T20:30:40.8909101,-1305
2025-07-23T20:30:52.8977164,-3848
2025-07-23T20:31:04.8998101,-3848
2025-07-23T20:31:16.9138622,-1658
2025-07-23T20:31:28.9189133,-2057
2025-07-23T20:31:40.9210462,-2305
2025-07-23T20:31:52.9232921,-2098
2025-07-23T20:32:04.9296452,-2386
2025-07-23T20:32:16.9337533,-2384
2025-07-23T20:32:28.9407038,-2585
2025-07-23T20:32:40.9530631,-2153
2025-07-23T20:32:52.9564130,-2220
2025-07-23T20:33:04.9632937,-2921
2025-07-23T20:33:16.9778400,-2960
2025-07-23T20:33:28.9805089,-3025
2025-07-23T20:33:40.9825010,-3330
2025-07-23T20:33:52.9882799,-3722
2025-07-23T20:34:04.9969026,-3575
2025-07-23T20:34:17.0112002,-4239
2025-07-23T20:34:41.0309732,-4239
2025-07-23T20:34:53.0311887,-202
2025-07-23T20:35:05.0459839,-660
2025-07-23T20:35:17.0544995,-540
2025-07-23T20:35:29.0635598,-16
2025-07-23T20:35:41.0656409,437
2025-07-23T20:35:53.0771673,621
2025-07-23T20:36:05.0796480,683
2025-07-23T20:36:17.0811572,488
2025-07-23T20:36:29.0897176,875
2025-07-23T20:36:41.0962502,612
2025-07-23T20:36:53.0978913,476
2025-07-23T20:37:05.1074010,654
2025-07-23T20:37:17.1209234,1169
2025-07-23T20:37:29.1338744,722
2025-07-23T20:37:41.1360099,1340
2025-07-23T20:37:53.1474407,1365
2025-07-23T20:38:05.1574822,-517
2025-07-23T20:38:17.1720179,-517
2025-07-23T20:38:29.1767249,227
2025-07-23T20:38:41.1820016,1078
2025-07-23T20:38:53.1962140,-3699
2025-07-23T20:39:05.2048990,-2854
2025-07-23T20:39:17.2085859,-1989
2025-07-23T20:39:29.2165941,-1138
2025-07-23T20:39:41.2292541,-281
2025-07-23T20:39:53.2381239,573
2025-07-23T20:40:05.2400179,-4239
2025-07-23T20:40:17.2451751,-3410
2025-07-23T20:40:29.2462642,-2555
2025-07-23T20:40:41.2593444,-1686
2025-07-23T20:40:53.2716783,-836
2025-07-23T20:41:05.2823261,13
2025-07-23T20:41:17.2952400,881
2025-07-23T20:41:29.3027710,-3786
2025-07-23T20:41:41.3166381,-2941
2025-07-23T20:41:53.8496164,-2033
2025-07-23T20:42:05.8273550,-1182
2025-07-23T20:42:17.8353566,-321
2025-07-23T20:42:29.8376085,527
2025-07-23T20:42:41.8517626,-2969
2025-07-23T20:42:53.8660426,-3362
2025-07-23T20:43:05.8669264,-2519
2025-07-23T20:43:17.8777963,-1650
2025-07-23T20:43:29.8787178,-801
2025-07-23T20:43:41.8835787,48
2025-07-23T20:43:53.8964006,899
2025-07-23T20:44:06.4094325,-3817
2025-07-23T20:44:18.4241922,-2956
2025-07-23T20:44:30.4347997,-2105
2025-07-23T20:44:42.4372796,-1249
2025-07-23T20:44:54.4435914,-394
2025-07-23T20:45:06.4463749,467
2025-07-23T20:45:18.4592020,1371
2025-07-23T20:45:30.4642548,-3421
2025-07-23T20:45:42.4725176,-2576
2025-07-23T20:45:54.4727874,-1721
2025-07-23T20:46:06.4801325,-865
2025-07-23T20:46:18.4845530,1
2025-07-23T20:46:30.4872949,856
2025-07-23T20:46:42.5010246,-3902
2025-07-23T20:46:55.0160864,-3005
2025-07-23T20:47:07.0199074,-2150
2025-07-23T20:47:19.0335299,-1293
2025-07-23T20:47:31.0487057,-442
2025-07-23T20:47:43.0524799,424
2025-07-23T20:47:55.0561501,1310
2025-07-23T20:48:07.0715990,-3483
2025-07-23T20:48:19.0791770,-2628
2025-07-23T20:48:31.0817240,-1761
2025-07-23T20:48:43.0962448,-910
2025-07-23T20:48:55.1106615,-47
2025-07-23T20:49:07.1212459,801
2025-07-23T20:49:19.1331296,-3944
2025-07-23T20:49:31.1397721,-3094
2025-07-23T20:49:43.1431927,-2232
2025-07-23T20:49:55.1526358,-1382
2025-07-23T20:50:07.1609454,-520
2025-07-23T20:50:19.1666097,334
2025-07-23T20:50:31.1809714,1190
2025-07-23T20:50:43.1859074,-3567
2025-07-23T20:50:55.1911854,-2706
2025-07-23T20:51:07.1962462,-1850
2025-07-23T20:51:19.1990072,-994
2025-07-23T20:51:31.2038511,-145
2025-07-23T20:51:43.2185412,717
2025-07-23T20:51:55.2256471,-4041
2025-07-23T20:52:07.2261214,-3186
2025-07-23T20:52:19.2397761,-2329
2025-07-23T20:52:31.2416762,-1478
2025-07-23T20:52:43.2487504,-616
2025-07-23T20:52:55.2567166,232
2025-07-23T20:53:07.2604864,1089
2025-07-23T20:53:19.2741071,-3656
2025-07-23T20:53:31.2855786,-2807
2025-07-23T20:53:43.2918695,-1951
2025-07-23T20:53:55.2985673,-1095
2025-07-23T20:54:07.3122753,-233
2025-07-23T20:54:19.3183578,616
2025-07-23T20:54:31.3198153,-4198
2025-07-23T20:54:43.3276046,-3321
2025-07-23T20:54:55.3323698,-2466
2025-07-23T20:55:07.3395049,-1609
2025-07-23T20:55:19.3417180,-759
2025-07-23T20:55:31.3456754,101
2025-07-23T20:55:43.3485371,957
2025-07-23T20:55:55.3555325,-3753
2025-07-23T20:56:07.3577477,-2898
2025-07-23T20:56:19.3632278,-2041
2025-07-23T20:56:31.3710887,-1180
2025-07-23T20:56:43.3847812,-329
2025-07-23T20:56:55.3990159,526
2025-07-23T20:57:07.4126447,-2495
2025-07-23T20:57:19.4163158,-3362
2025-07-23T20:57:31.4299579,-2512
2025-07-23T20:57:43.4429367,-1655
2025-07-23T20:57:55.4557056,-799
2025-07-23T20:58:07.4591563,62
2025-07-23T20:58:19.4675685,911
2025-07-23T20:58:31.4814441,-3844
2025-07-23T20:58:43.4885884,-2982
2025-07-23T20:58:55.5002521,-2131
2025-07-23T20:59:07.5085678,-1276
2025-07-23T20:59:19.5227102,-413
2025-07-23T20:59:32.0226687,471
2025-07-23T20:59:44.0292234,1365
2025-07-23T20:59:56.5299354,-3380
2025-07-23T21:00:09.0299887,-2500
2025-07-23T21:00:21.0304863,-1644
2025-07-23T21:00:33.0317745,-788
2025-07-23T21:00:45.0460128,72
2025-07-23T21:00:57.5575724,964
2025-07-23T21:01:09.5711347,-3793
2025-07-23T21:01:21.5859244,-2936
2025-07-23T21:01:33.5973708,-2080
2025-07-23T21:01:45.6016481,-1224
2025-07-23T21:01:57.6125134,-368
2025-07-23T21:02:09.6208895,487
2025-07-23T21:02:21.6226203,297
2025-07-23T21:02:33.6282404,-3410
2025-07-23T21:02:45.6291555,-2555
2025-07-23T21:02:57.6436235,-1698
2025-07-23T21:03:09.6450123,-843
2025-07-23T21:03:21.6513469,13
2025-07-23T21:03:33.6602999,869
2025-07-23T21:03:45.6605956,-3885
2025-07-23T21:03:57.6672978,-3028
2025-07-23T21:04:09.6692216,-2173
2025-07-23T21:04:21.6793321,-1317
2025-07-23T21:04:33.6884868,-461
2025-07-23T21:04:45.7005483,394
2025-07-23T21:04:57.7101540,1256
2025-07-23T21:05:09.7190043,-3502
2025-07-23T21:05:21.7278276,-2646
2025-07-23T21:05:34.2303236,-1751
2025-07-23T21:05:46.2343619,-896
2025-07-23T21:05:58.2467820,-39
2025-07-23T21:06:10.2571531,816
2025-07-23T21:06:22.2684555,-3934
2025-07-23T21:06:34.2726528,-3079
2025-07-23T21:06:46.2827805,-2222
2025-07-23T21:06:58.2840076,-1367
2025-07-23T21:07:10.2937346,-511
2025-07-23T21:07:22.3044320,344
2025-07-23T21:07:34.3172174,1201
2025-07-23T21:07:46.3255430,-3552
2025-07-23T21:07:58.3327502,-2696
2025-07-23T21:08:10.3346184,-1840
2025-07-23T21:08:22.3435712,-984
2025-07-23T21:08:34.3581541,-128
2025-07-23T21:08:46.3652466,727
2025-07-23T21:08:58.3786743,-4024
2025-07-23T21:09:10.3877753,-3169
2025-07-23T21:09:22.3999102,-2312
