PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Pump C syringe position (counts)
2025-07-23T20:17:21.2909453,-1391
2025-07-23T20:20:03.9738367,-1391
2025-07-23T20:20:15.9793344,-974
2025-07-23T20:20:27.9806362,-599
2025-07-23T20:20:39.9874371,1419
2025-07-23T20:20:51.9999548,1002
2025-07-23T20:21:04.0128809,1305
2025-07-23T20:21:16.0194457,1360
2025-07-23T20:21:28.0205851,1417
2025-07-23T20:21:40.0318959,1417
2025-07-23T20:21:52.0523541,1419
2025-07-23T20:22:04.0459680,1419
2025-07-23T20:22:16.0587550,-217
2025-07-23T20:22:28.0719117,112
2025-07-23T20:22:40.0834309,-205
2025-07-23T20:22:52.0914873,-160
2025-07-23T20:23:04.0957059,-700
2025-07-23T20:23:16.1002220,-1069
2025-07-23T20:23:28.1059107,-951
2025-07-23T20:23:40.1087124,-1277
2025-07-23T20:23:52.1226436,-1307
2025-07-23T20:24:04.1364575,478
2025-07-23T20:30:16.3715612,478
2025-07-23T20:30:28.8768939,-962
2025-07-23T20:30:40.8909101,-1561
2025-07-23T20:30:52.8977164,-3789
2025-07-23T20:31:04.8998101,-3789
2025-07-23T20:31:16.9138622,-1813
2025-07-23T20:31:28.9189133,-2312
2025-07-23T20:31:40.9210462,-2596
2025-07-23T20:31:52.9232921,-2710
2025-07-23T20:32:04.9296452,-3144
2025-07-23T20:32:16.9337533,-3389
2025-07-23T20:32:28.9407038,-4191
2025-07-23T20:32:40.9530631,-4030
2025-07-23T20:32:52.9564130,-4164
2025-07-23T20:33:04.9632937,-4391
2025-07-23T20:33:16.9778400,-4334
2025-07-23T20:33:28.9805089,-4103
2025-07-23T20:33:40.9825010,-4375
2025-07-23T20:33:52.9882799,-3629
2025-07-23T20:34:04.9969026,-3899
2025-07-23T20:34:17.0112002,1419
2025-07-23T20:35:17.0544995,1419
2025-07-23T20:35:29.0635598,1339
2025-07-23T20:35:41.0656409,1024
2025-07-23T20:35:53.0771673,916
2025-07-23T20:36:05.0796480,790
2025-07-23T20:36:17.0811572,927
2025-07-23T20:36:29.0897176,648
2025-07-23T20:36:41.0962502,771
2025-07-23T20:36:53.0978913,907
2025-07-23T20:37:05.1074010,815
2025-07-23T20:37:17.1209234,492
2025-07-23T20:37:29.1338744,636
2025-07-23T20:37:41.1360099,344
2025-07-23T20:37:53.1474407,345
2025-07-23T20:38:05.1574822,-463
2025-07-23T20:38:17.1720179,-463
2025-07-23T20:38:29.1767249,278
2025-07-23T20:38:41.1820016,1130
2025-07-23T20:38:53.1962140,-3646
2025-07-23T20:39:05.2048990,-2801
2025-07-23T20:39:17.2085859,-1935
2025-07-23T20:39:29.2165941,-1084
2025-07-23T20:39:41.2292541,-228
2025-07-23T20:39:53.2381239,627
2025-07-23T20:40:05.2400179,-4191
2025-07-23T20:40:17.2451751,-3352
2025-07-23T20:40:29.2462642,-2496
2025-07-23T20:40:41.2593444,-1628
2025-07-23T20:40:53.2716783,-778
2025-07-23T20:41:05.2823261,72
2025-07-23T20:41:17.2952400,940
2025-07-23T20:41:29.3027710,-3733
2025-07-23T20:41:41.3166381,-2887
2025-07-23T20:41:53.8496164,-1980
