PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Pump C total volume (motor counts) (counts)
2025-07-23T20:17:21.2909453,0
2025-07-23T20:20:03.9738367,0
2025-07-23T20:20:15.9793344,11220
2025-07-23T20:20:27.9806362,28049
2025-07-23T20:20:39.9874371,44877
2025-07-23T20:20:51.9999548,61290
2025-07-23T20:21:04.0128809,78423
2025-07-23T20:21:16.0194457,95307
2025-07-23T20:21:28.0205851,112196
2025-07-23T20:21:40.0318959,129024
2025-07-23T20:21:52.0523541,145852
2025-07-23T20:22:04.0459680,162681
2025-07-23T20:22:16.0587550,177872
2025-07-23T20:22:28.0719117,195032
2025-07-23T20:22:40.0834309,211544
2025-07-23T20:22:52.0914873,228418
2025-07-23T20:23:04.0957059,244708
2025-07-23T20:23:16.1002220,261168
2025-07-23T20:23:28.1059107,278113
2025-07-23T20:23:40.1087124,294615
2025-07-23T20:23:52.1226436,311414
2025-07-23T20:24:04.1364575,313200
2025-07-23T20:30:04.3608291,313200
2025-07-23T20:30:16.3715612,0
2025-07-23T20:30:28.8768939,15386
2025-07-23T20:30:40.8909101,31616
2025-07-23T20:30:52.8977164,46218
2025-07-23T20:31:04.8998101,0
2025-07-23T20:31:16.9138622,13195
2025-07-23T20:31:28.9189133,29524
2025-07-23T20:31:40.9210462,46068
2025-07-23T20:31:52.9232921,62783
2025-07-23T20:32:04.9296452,79179
2025-07-23T20:32:16.9337533,95764
2025-07-23T20:32:28.9407038,111793
2025-07-23T20:32:40.9530631,128782
2025-07-23T20:32:52.9564130,145478
2025-07-23T20:33:04.9632937,162282
2025-07-23T20:33:16.9778400,179112
2025-07-23T20:33:28.9805089,195942
2025-07-23T20:33:40.9825010,212770
2025-07-23T20:33:52.9882799,229600
2025-07-23T20:34:04.9969026,246430
2025-07-23T20:34:17.0112002,263258
2025-07-23T20:34:29.0255022,280087
2025-07-23T20:34:41.0309732,296917
2025-07-23T20:34:53.0311887,313745
2025-07-23T20:35:05.0459839,330574
2025-07-23T20:35:17.0544995,347403
2025-07-23T20:35:29.0635598,364153
2025-07-23T20:35:41.0656409,380667
2025-07-23T20:35:53.0771673,397388
2025-07-23T20:36:05.0796480,414091
2025-07-23T20:36:17.0811572,431056
2025-07-23T20:36:29.0897176,447606
2025-07-23T20:36:41.0962502,464558
2025-07-23T20:36:53.0978913,481523
2025-07-23T20:37:05.1074010,498261
2025-07-23T20:37:17.1209234,514768
2025-07-23T20:37:29.1338744,531742
2025-07-23T20:37:41.1360099,548280
2025-07-23T20:37:53.1474407,565111
2025-07-23T20:38:05.1574822,569913
2025-07-23T20:38:17.1720179,0
2025-07-23T20:38:29.1767249,741
2025-07-23T20:38:41.1820016,1593
2025-07-23T20:38:53.1962140,2425
2025-07-23T20:39:05.2048990,3270
2025-07-23T20:39:17.2085859,4136
2025-07-23T20:39:29.2165941,4987
2025-07-23T20:39:41.2292541,5843
2025-07-23T20:39:53.2381239,6699
2025-07-23T20:40:05.2400179,7490
2025-07-23T20:40:17.2451751,8328
2025-07-23T20:40:29.2462642,9184
2025-07-23T20:40:41.2593444,10052
2025-07-23T20:40:53.2716783,10902
2025-07-23T20:41:05.2823261,11753
2025-07-23T20:41:17.2952400,12621
2025-07-23T20:41:29.3027710,13556
2025-07-23T20:41:41.3166381,14402
2025-07-23T20:41:53.8496164,15309
2025-07-23T20:42:05.8273550,16160
2025-07-23T20:42:17.8353566,17021
2025-07-23T20:42:29.8376085,17871
2025-07-23T20:42:41.8517626,18708
2025-07-23T20:42:53.8660426,19587
2025-07-23T20:43:05.8669264,20431
2025-07-23T20:43:17.8777963,21299
2025-07-23T20:43:29.8787178,22148
2025-07-23T20:43:41.8835787,22998
2025-07-23T20:43:53.8964006,23850
2025-07-23T20:44:06.4094325,24740
2025-07-23T20:44:18.4241922,25602
2025-07-23T20:44:30.4347997,26453
2025-07-23T20:44:42.4372796,27309
2025-07-23T20:44:54.4435914,28164
2025-07-23T20:45:06.4463749,29025
2025-07-23T20:45:18.4592020,29926
2025-07-23T20:45:30.4642548,30745
2025-07-23T20:45:42.4725176,31590
2025-07-23T20:45:54.4727874,32446
2025-07-23T20:46:06.4801325,33302
2025-07-23T20:46:18.4845530,34168
2025-07-23T20:46:30.4872949,35023
2025-07-23T20:46:42.5010246,35875
2025-07-23T20:46:55.0160864,36772
2025-07-23T20:47:07.0199074,37628
2025-07-23T20:47:19.0335299,38484
2025-07-23T20:47:31.0487057,39335
2025-07-23T20:47:43.0524799,40201
2025-07-23T20:47:55.0561501,41093
2025-07-23T20:48:07.0715990,41904
2025-07-23T20:48:19.0791770,42761
2025-07-23T20:48:31.0817240,43628
2025-07-23T20:48:43.0962448,44478
2025-07-23T20:48:55.1106615,45340
2025-07-23T20:49:07.1212459,46190
2025-07-23T20:49:19.1331296,47051
2025-07-23T20:49:31.1397721,47901
2025-07-23T20:49:43.1431927,48762
2025-07-23T20:49:55.1526358,49613
2025-07-23T20:50:07.1609454,50474
2025-07-23T20:50:19.1666097,51330
2025-07-23T20:50:31.1809714,52186
2025-07-23T20:50:43.1859074,53035
2025-07-23T20:50:55.1911854,53896
2025-07-23T20:51:07.1962462,54752
2025-07-23T20:51:19.1990072,55608
2025-07-23T20:51:31.2038511,56458
2025-07-23T20:51:43.2185412,57321
2025-07-23T20:51:55.2256471,58173
2025-07-23T20:52:07.2261214,59029
2025-07-23T20:52:19.2397761,59887
2025-07-23T20:52:31.2416762,60736
2025-07-23T20:52:43.2487504,61598
2025-07-23T20:52:55.2567166,62448
2025-07-23T20:53:07.2604864,63305
2025-07-23T20:53:19.2741071,64164
2025-07-23T20:53:31.2855786,65014
2025-07-23T20:53:43.2918695,65871
2025-07-23T20:53:55.2985673,66726
2025-07-23T20:54:07.3122753,67589
2025-07-23T20:54:19.3183578,68438
2025-07-23T20:54:31.3198153,69236
2025-07-23T20:54:43.3276046,70117
2025-07-23T20:54:55.3323698,70972
2025-07-23T20:55:07.3395049,71829
2025-07-23T20:55:19.3417180,72678
2025-07-23T20:55:31.3456754,73540
2025-07-23T20:55:43.3485371,74395
2025-07-23T20:55:55.3555325,75288
2025-07-23T20:56:07.3577477,76144
2025-07-23T20:56:19.3632278,77000
2025-07-23T20:56:31.3710887,77861
2025-07-23T20:56:43.3847812,78712
2025-07-23T20:56:55.3990159,79568
2025-07-23T20:57:07.4126447,80407
2025-07-23T20:57:19.4163158,81286
2025-07-23T20:57:31.4299579,82136
2025-07-23T20:57:43.4429367,82992
2025-07-23T20:57:55.4557056,83849
2025-07-23T20:58:07.4591563,84710
2025-07-23T20:58:19.4675685,85560
2025-07-23T20:58:31.4814441,86416
2025-07-23T20:58:43.4885884,87278
2025-07-23T20:58:55.5002521,88129
2025-07-23T20:59:07.5085678,88985
2025-07-23T20:59:19.5227102,89847
2025-07-23T20:59:32.0226687,90732
2025-07-23T20:59:44.0292234,91625
2025-07-23T20:59:56.5299354,92485
2025-07-23T21:00:09.0299887,93366
2025-07-23T21:00:21.0304863,94221
2025-07-23T21:00:33.0317745,95076
2025-07-23T21:00:45.0460128,95938
2025-07-23T21:00:57.5575724,96830
