PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Pump D syringe position (counts)
2025-07-23T20:17:21.2909453,-1457
2025-07-23T20:20:03.9738367,-1457
2025-07-23T20:20:15.9793344,-1212
2025-07-23T20:20:27.9806362,-1099
2025-07-23T20:20:39.9874371,1276
2025-07-23T20:20:51.9999548,1341
2025-07-23T20:21:04.0128809,1341
2025-07-23T20:21:16.0194457,1150
2025-07-23T20:21:28.0205851,-784
2025-07-23T20:21:40.0318959,-1170
2025-07-23T20:21:52.0523541,-28
2025-07-23T20:22:04.0459680,-1006
2025-07-23T20:22:16.0587550,1341
2025-07-23T20:22:52.0914873,1341
2025-07-23T20:23:04.0957059,1227
2025-07-23T20:23:16.1002220,896
2025-07-23T20:23:28.1059107,1009
2025-07-23T20:23:40.1087124,723
2025-07-23T20:23:52.1226436,397
2025-07-23T20:30:16.3715612,397
2025-07-23T20:30:28.8768939,-995
2025-07-23T20:30:40.8909101,-1456
2025-07-23T20:30:52.8977164,-3870
2025-07-23T20:31:04.8998101,-3870
2025-07-23T20:31:16.9138622,-1811
2025-07-23T20:31:28.9189133,-2172
2025-07-23T20:31:40.9210462,-2341
2025-07-23T20:31:52.9232921,-3216
2025-07-23T20:32:04.9296452,-3471
2025-07-23T20:32:16.9337533,-3507
2025-07-23T20:32:28.9407038,-4414
2025-07-23T20:32:40.9530631,-4269
2025-07-23T20:32:52.9564130,-4269
2025-07-23T20:33:04.9632937,-1553
2025-07-23T20:33:16.9778400,-1423
2025-07-23T20:33:28.9805089,-1241
2025-07-23T20:33:40.9825010,-2105
2025-07-23T20:33:52.9882799,-1014
2025-07-23T20:34:04.9969026,-1336
2025-07-23T20:34:17.0112002,-1270
2025-07-23T20:34:29.0255022,-1539
2025-07-23T20:34:41.0309732,-1469
2025-07-23T20:34:53.0311887,-558
2025-07-23T20:35:05.0459839,-1076
2025-07-23T20:35:17.0544995,-1088
2025-07-23T20:35:29.0635598,-621
2025-07-23T20:35:41.0656409,-237
2025-07-23T20:35:53.0771673,-237
2025-07-23T20:36:05.0796480,-115
2025-07-23T20:36:17.0811572,-564
2025-07-23T20:36:29.0897176,-118
2025-07-23T20:36:41.0962502,-254
2025-07-23T20:36:53.0978913,-519
2025-07-23T20:37:05.1074010,-464
2025-07-23T20:37:17.1209234,56
2025-07-23T20:37:29.1338744,-265
2025-07-23T20:37:41.1360099,243
2025-07-23T20:37:53.1474407,238
2025-07-23T20:38:05.1574822,-552
2025-07-23T20:38:17.1720179,-552
2025-07-23T20:38:29.1767249,187
2025-07-23T20:38:41.1820016,1039
2025-07-23T20:38:53.1962140,-3738
2025-07-23T20:39:05.2048990,-2893
2025-07-23T20:39:17.2085859,-2027
2025-07-23T20:39:29.2165941,-1176
2025-07-23T20:39:41.2292541,-320
2025-07-23T20:39:53.2381239,535
2025-07-23T20:40:05.2400179,-4269
2025-07-23T20:40:17.2451751,-3449
2025-07-23T20:40:29.2462642,-2594
2025-07-23T20:40:41.2593444,-1725
2025-07-23T20:40:53.2716783,-876
2025-07-23T20:41:05.2823261,-25
2025-07-23T20:41:17.2952400,843
2025-07-23T20:41:29.3027710,-3827
2025-07-23T20:41:41.3166381,-2983
2025-07-23T20:41:53.8496164,-2074
2025-07-23T20:42:05.8273550,-1224
2025-07-23T20:42:17.8353566,-362
2025-07-23T20:42:29.8376085,487
2025-07-23T20:42:41.8517626,-2220
2025-07-23T20:42:53.8660426,-3404
2025-07-23T20:43:05.8669264,-2560
2025-07-23T20:43:17.8777963,-1692
2025-07-23T20:43:29.8787178,-843
2025-07-23T20:43:41.8835787,6
2025-07-23T20:43:53.8964006,858
2025-07-23T20:44:06.4094325,-3857
2025-07-23T20:44:18.4241922,-2996
2025-07-23T20:44:30.4347997,-2144
2025-07-23T20:44:42.4372796,-1289
2025-07-23T20:44:54.4435914,-434
2025-07-23T20:45:06.4463749,427
2025-07-23T20:45:18.4592020,1341
2025-07-23T20:45:30.4642548,-3461
2025-07-23T20:45:42.4725176,-2616
2025-07-23T20:45:54.4727874,-1760
2025-07-23T20:46:06.4801325,-905
2025-07-23T20:46:18.4845530,-38
2025-07-23T20:46:30.4872949,816
2025-07-23T20:46:42.5010246,-3944
2025-07-23T20:46:55.0160864,-3047
2025-07-23T20:47:07.0199074,-2192
2025-07-23T20:47:19.0335299,-1335
2025-07-23T20:47:31.0487057,-484
2025-07-23T20:47:43.0524799,381
2025-07-23T20:47:55.0561501,1257
2025-07-23T20:48:07.0715990,-3525
2025-07-23T20:48:19.0791770,-2668
