PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Pump D total volume (motor counts) (counts)
2025-07-23T20:17:21.2909453,0
2025-07-23T20:20:03.9738367,0
2025-07-23T20:20:15.9793344,11220
2025-07-23T20:20:27.9806362,28048
2025-07-23T20:20:39.9874371,44878
2025-07-23T20:20:51.9999548,61707
2025-07-23T20:21:04.0128809,78537
2025-07-23T20:21:16.0194457,95367
2025-07-23T20:21:28.0205851,112197
2025-07-23T20:21:40.0318959,129026
2025-07-23T20:21:52.0523541,145856
2025-07-23T20:22:04.0459680,162685
2025-07-23T20:22:16.0587550,179513
2025-07-23T20:22:28.0719117,196342
2025-07-23T20:22:40.0834309,213172
2025-07-23T20:22:52.0914873,230000
2025-07-23T20:23:04.0957059,246714
2025-07-23T20:23:16.1002220,263212
2025-07-23T20:23:28.1059107,280154
2025-07-23T20:23:40.1087124,296697
2025-07-23T20:23:52.1226436,313200
2025-07-23T20:30:04.3608291,313200
2025-07-23T20:30:16.3715612,0
2025-07-23T20:30:28.8768939,15435
2025-07-23T20:30:40.8909101,31803
2025-07-23T20:30:52.8977164,46218
2025-07-23T20:31:04.8998101,0
2025-07-23T20:31:16.9138622,13279
2025-07-23T20:31:28.9189133,29746
2025-07-23T20:31:40.9210462,46404
2025-07-23T20:31:52.9232921,62358
2025-07-23T20:32:04.9296452,78931
2025-07-23T20:32:16.9337533,95723
2025-07-23T20:32:28.9407038,111792
2025-07-23T20:32:40.9530631,128622
2025-07-23T20:32:52.9564130,145452
2025-07-23T20:33:04.9632937,162282
2025-07-23T20:33:16.9778400,179112
2025-07-23T20:33:28.9805089,195942
2025-07-23T20:33:40.9825010,212772
2025-07-23T20:33:52.9882799,229602
2025-07-23T20:34:04.9969026,246432
2025-07-23T20:34:17.0112002,263262
2025-07-23T20:34:29.0255022,280092
2025-07-23T20:34:41.0309732,296922
2025-07-23T20:34:53.0311887,313752
2025-07-23T20:35:05.0459839,330581
2025-07-23T20:35:17.0544995,347410
2025-07-23T20:35:29.0635598,364240
2025-07-23T20:35:41.0656409,381069
2025-07-23T20:35:53.0771673,397899
2025-07-23T20:36:05.0796480,414729
2025-07-23T20:36:17.0811572,431558
2025-07-23T20:36:29.0897176,448388
2025-07-23T20:36:41.0962502,465218
2025-07-23T20:36:53.0978913,482048
2025-07-23T20:37:05.1074010,498878
2025-07-23T20:37:17.1209234,515708
2025-07-23T20:37:29.1338744,532538
2025-07-23T20:37:41.1360099,549367
2025-07-23T20:37:53.1474407,566196
2025-07-23T20:38:05.1574822,569913
2025-07-23T20:38:17.1720179,0
2025-07-23T20:38:29.1767249,739
2025-07-23T20:38:41.1820016,1591
2025-07-23T20:38:53.1962140,2422
2025-07-23T20:39:05.2048990,3267
2025-07-23T20:39:17.2085859,4133
2025-07-23T20:39:29.2165941,4984
2025-07-23T20:39:41.2292541,5840
2025-07-23T20:39:53.2381239,6696
2025-07-23T20:40:05.2400179,7501
2025-07-23T20:40:17.2451751,8320
2025-07-23T20:40:29.2462642,9175
2025-07-23T20:40:41.2593444,10044
2025-07-23T20:40:53.2716783,10894
2025-07-23T20:41:05.2823261,11744
2025-07-23T20:41:17.2952400,12613
2025-07-23T20:41:29.3027710,13551
2025-07-23T20:41:41.3166381,14396
2025-07-23T20:41:53.8496164,15304
2025-07-23T20:42:05.8273550,16154
2025-07-23T20:42:17.8353566,17016
2025-07-23T20:42:29.8376085,17866
2025-07-23T20:42:41.8517626,18719
2025-07-23T20:42:53.8660426,19583
2025-07-23T20:43:05.8669264,20428
2025-07-23T20:43:17.8777963,21295
2025-07-23T20:43:29.8787178,22144
2025-07-23T20:43:41.8835787,22994
2025-07-23T20:43:53.8964006,23846
2025-07-23T20:44:06.4094325,24739
2025-07-23T20:44:18.4241922,25600
2025-07-23T20:44:30.4347997,26452
2025-07-23T20:44:42.4372796,27307
2025-07-23T20:44:54.4435914,28163
2025-07-23T20:45:06.4463749,29024
2025-07-23T20:45:18.4592020,29937
2025-07-23T20:45:30.4642548,30744
2025-07-23T20:45:42.4725176,31590
2025-07-23T20:45:54.4727874,32445
2025-07-23T20:46:06.4801325,33300
2025-07-23T20:46:18.4845530,34167
2025-07-23T20:46:30.4872949,35022
2025-07-23T20:46:42.5010246,35870
2025-07-23T20:46:55.0160864,36767
2025-07-23T20:47:07.0199074,37622
2025-07-23T20:47:19.0335299,38479
2025-07-23T20:47:31.0487057,39330
2025-07-23T20:47:43.0524799,40196
2025-07-23T20:47:55.0561501,41072
2025-07-23T20:48:07.0715990,41898
2025-07-23T20:48:19.0791770,42755
2025-07-23T20:48:31.0817240,43622
2025-07-23T20:48:43.0962448,44472
2025-07-23T20:48:55.1106615,45334
2025-07-23T20:49:07.1212459,46185
2025-07-23T20:49:19.1331296,47049
2025-07-23T20:49:31.1397721,47901
2025-07-23T20:49:43.1431927,48761
2025-07-23T20:49:55.1526358,49613
2025-07-23T20:50:07.1609454,50473
2025-07-23T20:50:19.1666097,51329
2025-07-23T20:50:31.1809714,52186
2025-07-23T20:50:43.1859074,53034
2025-07-23T20:50:55.1911854,53895
2025-07-23T20:51:07.1962462,54751
2025-07-23T20:51:19.1990072,55607
2025-07-23T20:51:31.2038511,56457
2025-07-23T20:51:43.2185412,57319
2025-07-23T20:51:55.2256471,58168
2025-07-23T20:52:07.2261214,59024
2025-07-23T20:52:19.2397761,59882
2025-07-23T20:52:31.2416762,60731
2025-07-23T20:52:43.2487504,61594
2025-07-23T20:52:55.2567166,62444
2025-07-23T20:53:07.2604864,63299
2025-07-23T20:53:19.2741071,64161
2025-07-23T20:53:31.2855786,65010
2025-07-23T20:53:43.2918695,65868
2025-07-23T20:53:55.2985673,66723
2025-07-23T20:54:07.3122753,67585
2025-07-23T20:54:19.3183578,68435
2025-07-23T20:54:31.3198153,69219
2025-07-23T20:54:43.3276046,70103
2025-07-23T20:54:55.3323698,70958
2025-07-23T20:55:07.3395049,71815
2025-07-23T20:55:19.3417180,72665
2025-07-23T20:55:31.3456754,73527
2025-07-23T20:55:43.3485371,74382
2025-07-23T20:55:55.3555325,75286
