PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Reference times
2025-07-23T20:17:39.6992805,,Start
2025-07-23T20:17:39.6992805,,Phase
2025-07-23T22:41:52.5591884,,End
2025-07-24T14:16:06.9375901,,End
2025-07-24T14:16:08.9581758,,Phase
2025-07-24T14:16:09.0311752,,End
2025-07-24T19:41:31.3427931,,End
2025-07-24T19:41:43.4371685,,Phase
2025-07-24T19:41:43.4551688,,End
2025-07-24T23:06:12.3342148,,End
2025-07-24T23:06:15.1012886,,Inoculation
2025-07-24T23:06:15.2792884,,Phase
2025-07-24T23:06:15.3911660,,End
2025-07-31T19:47:33.3896738,,End
2025-07-31T19:47:36.4987060,,Phase
2025-07-31T19:47:36.5486979,,End
