PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Stir speed (rpm)
2025-07-23T20:17:21.2909453,NaN
2025-07-23T22:41:46.9862020,NaN
2025-07-23T22:41:56.2075598,0
2025-07-24T14:16:08.5201742,0
2025-07-24T14:16:13.2101404,500
2025-07-24T14:16:18.9095722,498
2025-07-24T14:16:31.1610944,499
2025-07-24T14:16:43.2510210,501
2025-07-24T14:16:55.4173385,501
2025-07-24T14:17:07.5111698,497
2025-07-24T14:17:19.6049510,499
2025-07-24T14:17:31.7887912,503
2025-07-24T14:17:43.9325294,500
2025-07-24T14:17:56.1872028,497
2025-07-24T14:18:08.4066779,500
2025-07-24T14:18:20.5296404,503
2025-07-24T14:18:32.7028177,502
2025-07-24T14:18:44.8797420,498
2025-07-24T14:18:57.0561938,499
2025-07-24T14:19:09.1948090,503
2025-07-24T14:19:21.3193033,502
2025-07-24T14:19:33.5323289,499
2025-07-24T14:19:45.6379222,497
2025-07-24T14:19:57.8410624,501
2025-07-24T14:20:09.9702843,502
2025-07-24T14:20:22.1572407,497
2025-07-24T14:20:34.4384896,498
2025-07-24T14:20:46.5909494,500
2025-07-24T14:20:58.7872726,503
2025-07-24T14:21:10.9313184,499
2025-07-24T14:21:23.0789663,498
2025-07-24T14:21:35.2661787,498
2025-07-24T14:21:47.3975754,501
2025-07-24T14:21:59.5076446,503
2025-07-24T14:22:11.6443055,501
2025-07-24T14:22:23.7278353,496
2025-07-24T14:22:35.9746609,501
2025-07-24T14:22:48.1257437,503
2025-07-24T14:23:00.2338814,500
2025-07-24T14:23:12.4153627,497
2025-07-24T14:23:24.5856448,498
2025-07-24T14:23:36.8046386,501
2025-07-24T14:23:49.0337322,503
2025-07-24T14:24:01.1337256,503
2025-07-24T14:24:13.3047497,499
2025-07-24T14:24:25.4552237,497
2025-07-24T14:24:37.6855457,498
2025-07-24T14:24:49.7558376,501
2025-07-24T14:25:01.8617579,503
2025-07-24T14:25:13.9711728,501
2025-07-24T14:25:26.1163528,497
2025-07-24T14:25:38.3323786,501
2025-07-24T14:25:50.4759133,502
2025-07-24T14:26:02.5719259,500
2025-07-24T14:26:14.6701647,497
2025-07-24T14:26:26.8931465,499
2025-07-24T14:26:39.0509872,501
2025-07-24T14:26:51.1582922,503
2025-07-24T14:27:03.2953045,501
2025-07-24T14:27:15.5094546,499
2025-07-24T14:27:27.6562647,498
2025-07-24T14:27:39.8309234,500
2025-07-24T14:27:51.9525283,503
2025-07-24T14:28:04.1332579,501
2025-07-24T14:28:16.3161531,498
2025-07-24T14:28:28.4529544,498
2025-07-24T14:28:40.7197980,502
2025-07-24T14:28:52.9096320,502
2025-07-24T14:29:05.1002033,501
2025-07-24T14:29:17.2196959,497
2025-07-24T14:29:29.3831273,498
2025-07-24T14:29:41.5353533,501
2025-07-24T14:29:53.6800732,503
2025-07-24T14:30:05.8501940,502
2025-07-24T14:30:17.9907586,500
2025-07-24T14:30:30.1454912,497
2025-07-24T14:30:42.3413147,499
2025-07-24T14:30:54.4814271,502
2025-07-24T14:31:06.6222474,502
2025-07-24T14:31:18.8149746,498
2025-07-24T14:31:30.9965464,498
2025-07-24T14:31:43.2058112,501
2025-07-24T14:31:55.3718393,503
2025-07-24T14:32:07.4903777,498
2025-07-24T14:32:19.6344173,498
2025-07-24T14:32:31.7534286,502
2025-07-24T14:32:56.0784207,502
2025-07-24T14:33:08.1701365,497
2025-07-24T14:33:20.3279772,498
2025-07-24T14:33:32.5551319,500
2025-07-24T14:33:44.7728227,503
2025-07-24T14:33:56.9130263,500
2025-07-24T14:34:09.0225236,498
2025-07-24T14:34:21.1763535,498
2025-07-24T14:34:33.3448545,503
2025-07-24T14:34:45.5184074,502
2025-07-24T14:34:57.5991181,500
2025-07-24T14:35:08.6476323,497
2025-07-24T14:35:11.6584483,503
2025-07-24T14:35:20.7653891,501
2025-07-24T14:35:23.8031129,498
2025-07-24T14:35:34.0306376,503
2025-07-24T14:35:45.1003792,499
2025-07-24T14:35:48.1057561,502
2025-07-24T14:35:58.4426297,497
2025-07-24T14:36:10.6108768,498
2025-07-24T14:36:22.8175011,502
2025-07-24T14:36:34.9760845,501
2025-07-24T14:36:47.1409346,501
2025-07-24T14:36:59.2810698,499
2025-07-24T14:37:11.4092633,497
2025-07-24T14:37:23.5562657,497
2025-07-24T14:37:35.7382940,500
2025-07-24T14:37:47.9103613,502
2025-07-24T14:38:00.0666285,500
2025-07-24T14:38:12.2056504,498
2025-07-24T14:38:24.3042882,498
2025-07-24T14:38:36.4414895,500
2025-07-24T14:38:48.6177083,502
2025-07-24T14:39:00.7778073,501
2025-07-24T14:39:12.9125968,498
