PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,f9e6433c-4571-48bf-be4a-9cb63f541092
2025-07-23T20:17:26.2984841,NaN
2025-07-24T14:16:31.1610944,NaN
2025-07-24T14:16:43.2510210,Infinity
2025-07-24T15:31:54.1686004,Infinity
2025-07-24T15:32:06.3461622,NaN
2025-07-24T15:32:18.5347262,NaN
2025-07-24T15:32:30.7736414,Infinity
2025-07-24T15:33:55.9271930,Infinity
2025-07-24T15:34:07.9613196,NaN
2025-07-24T15:34:20.0919269,NaN
2025-07-24T15:34:32.2908531,Infinity
2025-07-24T15:35:08.6276278,Infinity
2025-07-24T15:35:20.8187524,NaN
2025-07-24T15:35:33.0042215,Infinity
2025-07-24T15:35:57.2694319,Infinity
2025-07-24T15:36:09.4022217,NaN
2025-07-24T15:36:21.5759577,Infinity
2025-07-24T15:36:33.8024017,Infinity
2025-07-24T15:36:45.9552163,NaN
2025-07-24T15:36:58.1043411,Infinity
2025-07-24T15:37:10.1674746,NaN
2025-07-24T15:37:22.3254164,NaN
2025-07-24T15:37:34.5502755,Infinity
2025-07-24T15:37:46.7446016,Infinity
2025-07-24T15:37:58.9172993,NaN
2025-07-24T15:38:47.5058517,NaN
2025-07-24T15:38:59.6626994,Infinity
2025-07-24T15:39:11.8156589,NaN
2025-07-24T15:39:23.9538178,NaN
2025-07-24T15:39:36.1121536,Infinity
2025-07-24T15:39:48.2999664,NaN
2025-07-24T15:40:24.7601875,NaN
2025-07-24T15:40:37.0136986,Infinity
2025-07-24T15:40:49.1393206,NaN
2025-07-24T15:41:01.2790251,Infinity
2025-07-24T15:41:13.3943844,Infinity
2025-07-24T15:41:25.5917038,NaN
2025-07-24T15:43:39.5339406,NaN
2025-07-24T15:43:51.6447092,Infinity
2025-07-24T15:44:03.7764337,Infinity
2025-07-24T15:44:15.9026416,NaN
2025-07-24T15:44:40.2188496,NaN
2025-07-24T15:44:52.3243148,Infinity
2025-07-24T15:45:04.4442616,NaN
2025-07-24T15:50:56.8534016,NaN
2025-07-24T15:51:09.0530757,Infinity
2025-07-24T15:51:21.1334921,NaN
2025-07-24T15:54:11.2692617,NaN
2025-07-24T15:54:23.4048647,Infinity
2025-07-31T19:47:36.2996786,Infinity
2025-07-31T19:47:48.3750748,NaN
